metric,control_mean,treatment_mean,difference,ci_low,ci_high,p_value
Raw rounds,52.45626398210291,51.29877552814966,-1.157488453953249,-3.7197051164946453,1.4047282085881472,0.37592438409326223
Capped rounds (sensitivity),49.13583892617449,48.853920728088106,-0.2819181980863874,-1.3811499138563423,0.8173135176835675,0.6151936131237729
