word,count_hi,count_lo,log_odds
starbucks,80,27,-0.8692600670391784
refills,60,20,-0.8651532850865244
wings,589,202,-0.8645881536784357
pepperoni,63,21,-0.8636640815350578
least,235,80,-0.8621220611832419
station,81,27,-0.8569899744473641
care,172,58,-0.8557505609443536
lol,348,118,-0.855556282445515
run,258,87,-0.8520134643150818
deals,106,35,-0.8421948155306156
average,171,56,-0.8270615025575099
wanted,129,42,-0.8251703767743939
kinda,117,38,-0.8243817332003953
they've,72,23,-0.8190991007359667
told,167,54,-0.8148739173656248
turn,82,26,-0.8085009697441432
ordered,574,185,-0.8028813444522642
shot,95,30,-0.8011437245537234
reviews,250,80,-0.800500927077068
ordering,223,71,-0.7965247786974272
debit,105,33,-0.7944261420405088
tables,259,82,-0.789663688317483
cup,188,59,-0.7841022586988711
surprisingly,81,25,-0.7828820022936416
making,141,44,-0.7823401437054729
actually,261,82,-0.782000815571914
missing,91,28,-0.7770119644738465
nights,91,28,-0.7770119644738465
used,199,62,-0.7763220713799077
soda,178,55,-0.7694705964308071
probably,226,70,-0.7692345710963258
kid,92,28,-0.7662010483696307
beware,102,31,-0.7625116261065035
customer,1049,324,-0.7587844507145816
use,374,115,-0.7581688766723671
pass,96,29,-0.7579911146951854
reason,109,33,-0.7573848703601591
wifi,258,79,-0.7567032845107571
tuesday,239,73,-0.7549308813985922
stick,77,23,-0.7528497151947668
decent,338,103,-0.7498955032973358
pick,260,79,-0.7490109388876016
minute,107,32,-0.7458810458786722
late,400,121,-0.7415643289631006
buffalo,105,31,-0.7338015202240733
leave,228,68,-0.731889212579433
plain,82,24,-0.7315399286080151
chain,69,20,-0.7275319072104764
water,276,82,-0.7263278131456721
mine,66,19,-0.7225443656994397
old,435,129,-0.7213969186429612
counter,244,72,-0.7207059421400777
expensive,241,71,-0.7192331043957818
chipotle,184,54,-0.71848207169056
single,90,26,-0.7164820710238917
taking,117,34,-0.7161681485601621
card,330,97,-0.7143538148299218
wasn't,202,59,-0.7126432947167274
mention,77,22,-0.7102901007759712
lines,118,34,-0.7077292799142976
car,112,32,-0.7006244542905513
person,191,55,-0.6993610302437805
waitress,219,63,-0.6967602485437236
even,1100,319,-0.6958515706075055
business,486,140,-0.6920004788319911
extremely,252,72,-0.6885746639572847
believe,145,41,-0.6855677081114449
draft,72,20,-0.685567708111444
guy,232,66,-0.6851588773616779
til,79,22,-0.6849722927916808
english,79,22,-0.6849722927916808
fast,1273,365,-0.6842212088056705
pieces,100,28,-0.6836800246816281
inside,505,144,-0.6817017846695226
put,273,77,-0.6750854318379345
left,242,68,-0.6725497727931238
due,80,22,-0.6725497727931238
couldn't,147,41,-0.6719620560556665
margaritas,66,18,-0.6712510713118878
arrive,66,18,-0.6712510713118878
fine,119,33,-0.6703734933705299
still,808,228,-0.669427798032161
others,77,21,-0.6658383382051376
tasted,258,72,-0.6651360909852668
app,143,39,-0.6505708660743492
blue,111,30,-0.6469930447264645
buy,274,75,-0.6454669541561726
surprised,75,20,-0.6452938089735039
